automaton,device,traverser,evaluator,layout,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
forest-fire,CUDA,spacial_blocking,standard,standard,13440,13440,100,10,5,1,4,42,0,215.679415,1.194016,0.041373,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,spacial_blocking,standard,standard,20160,20160,100,10,5,1,4,42,0,482.753985,1.187804,0.038898,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_array,bit_array,6720,6720,100,10,5,0,0,42,32,7.613652,0.168599,0.014285,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_array,bit_array,13440,13440,100,10,5,0,0,42,32,27.816454,0.153994,0.022735,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_array,bit_array,20160,20160,100,10,5,0,0,42,32,64.035481,0.157558,0.142502,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_array,bit_array,6720,6720,100,10,5,0,0,42,64,12.905760,0.285789,0.003178,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_array,bit_array,13440,13440,100,10,5,0,0,42,64,150.312881,0.832142,0.287668,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_array,bit_array,20160,20160,100,10,5,0,0,42,64,246.603722,0.606762,0.403150,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_planes,bit_planes,6720,6720,100,10,5,0,0,42,32,1.209559,0.026785,0.013417,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_planes,bit_planes,13440,13440,100,10,5,0,0,42,32,4.658223,0.025788,0.003889,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_planes,bit_planes,20160,20160,100,10,5,0,0,42,32,32.184260,0.079189,0.078611,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_planes,bit_planes,6720,6720,100,10,5,0,0,42,64,1.002104,0.022191,0.000656,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_planes,bit_planes,13440,13440,100,10,5,0,0,42,64,4.392924,0.024320,0.004526,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_planes,bit_planes,20160,20160,100,10,5,0,0,42,64,33.260954,0.081838,0.036188,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
wire,CUDA,simple,standard,standard,6720,6720,300,10,5,0,0,42,0,163.387700,3.618102,0.047498,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,standard,standard,13440,13440,300,10,5,0,0,42,0,646.954902,3.581587,0.103017,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,standard,standard,20160,20160,300,10,5,0,0,42,0,1447.901204,3.562525,0.173704,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,6720,6720,300,10,5,1,1,42,0,163.413830,3.618681,0.042068,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,13440,13440,300,10,5,1,1,42,0,646.967240,3.581655,0.112900,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,20160,20160,300,10,5,1,1,42,0,1447.768282,3.562198,0.226862,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,6720,6720,300,10,5,1,2,42,0,163.483897,3.620232,0.041468,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,13440,13440,300,10,5,1,2,42,0,646.925178,3.581422,0.130320,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,20160,20160,300,10,5,1,2,42,0,1447.822644,3.562331,0.211046,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,6720,6720,300,10,5,1,4,42,0,163.440877,3.619280,0.058718,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,13440,13440,300,10,5,1,4,42,0,646.920116,3.581394,0.146368,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,20160,20160,300,10,5,1,4,42,0,1447.725339,3.562092,0.175281,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,6720,6720,300,10,5,0,0,42,32,55.340923,1.225485,0.107269,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,13440,13440,300,10,5,0,0,42,32,161.174385,0.892272,0.726711,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,20160,20160,300,10,5,0,0,42,32,371.348765,0.913694,1.434719,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,6720,6720,300,10,5,0,0,42,64,69.940953,1.548792,0.004854,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,13440,13440,300,10,5,0,0,42,64,578.756254,3.204034,0.039782,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,20160,20160,300,10,5,0,0,42,64,1078.663723,2.654025,1.708584,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,6720,6720,300,10,5,0,0,42,32,3.565963,0.078966,0.000569,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,13440,13440,300,10,5,0,0,42,32,13.932293,0.077130,0.007831,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,20160,20160,300,10,5,0,0,42,32,96.687207,0.237896,0.138074,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,6720,6720,300,10,5,0,0,42,64,2.966559,0.065692,0.002163,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,13440,13440,300,10,5,0,0,42,64,13.032208,0.072147,0.005978,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,20160,20160,300,10,5,0,0,42,64,99.312537,0.244356,0.086414,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
greenberg-hastings,CUDA,simple,standard,standard,6720,6720,50,10,5,0,0,42,0,26.921265,0.596152,0.013630,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,simple,standard,standard,13440,13440,50,10,5,0,0,42,0,107.671653,0.596078,0.032486,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,simple,standard,standard,20160,20160,50,10,5,0,0,42,0,241.349032,0.593833,0.036448,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,spacial_blocking,standard,standard,6720,6720,50,10,5,1,1,42,0,26.930861,0.596364,0.009003,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,spacial_blocking,standard,standard,13440,13440,50,10,5,1,1,42,0,107.665976,0.596046,0.028661,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,spacial_blocking,standard,standard,20160,20160,50,10,5,1,1,42,0,241.335957,0.593801,0.058223,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,spacial_blocking,standard,standard,6720,6720,50,10,5,1,2,42,0,26.936746,0.596495,0.021267,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,spacial_blocking,standard,standard,13440,13440,50,10,5,1,2,42,0,107.669316,0.596065,0.026092,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,spacial_blocking,standard,standard,20160,20160,50,10,5,1,2,42,0,241.324342,0.593772,0.058060,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,spacial_blocking,standard,standard,6720,6720,50,10,5,1,4,42,0,26.923746,0.596207,0.010248,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,spacial_blocking,standard,standard,13440,13440,50,10,5,1,4,42,0,107.668492,0.596060,0.026496,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,spacial_blocking,standard,standard,20160,20160,50,10,5,1,4,42,0,241.331283,0.593790,0.052050,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,simple,bit_array,bit_array,6720,6720,50,10,5,0,0,42,32,18.196473,0.402948,0.009351,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,simple,bit_array,bit_array,13440,13440,50,10,5,0,0,42,32,68.358412,0.378437,0.866142,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,simple,bit_array,bit_array,20160,20160,50,10,5,0,0,42,32,162.913939,0.400846,5.540184,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,simple,bit_array,bit_array,6720,6720,50,10,5,0,0,42,64,21.837795,0.483582,0.007707,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,simple,bit_array,bit_array,13440,13440,50,10,5,0,0,42,64,115.438557,0.639076,5.288582,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,simple,bit_array,bit_array,20160,20160,50,10,5,0,0,42,64,301.454176,0.741720,6.575032,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,simple,bit_planes,bit_planes,6720,6720,50,10,5,0,0,42,32,0.891270,0.019737,0.000822,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,simple,bit_planes,bit_planes,13440,13440,50,10,5,0,0,42,32,10.720644,0.059350,0.012228,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,simple,bit_planes,bit_planes,20160,20160,50,10,5,0,0,42,32,24.504805,0.060293,0.035907,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,simple,bit_planes,bit_planes,6720,6720,50,10,5,0,0,42,64,0.741028,0.016410,0.002251,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,simple,bit_planes,bit_planes,13440,13440,50,10,5,0,0,42,64,10.489221,0.058069,0.015455,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,simple,bit_planes,bit_planes,20160,20160,50,10,5,0,0,42,64,25.203515,0.062013,0.016446,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
