automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
forest-fire,CUDA,simple,standard,standard,,20160,20160,100,10,5,0,0,16,16,42,0,420.114145,1.033680,0.204545,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,spacial_blocking,standard,standard,,6720,6720,100,10,5,1,1,16,16,42,0,46.817052,1.036730,0.027459,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,spacial_blocking,standard,standard,,13440,13440,100,10,5,1,1,16,16,42,0,186.973607,1.035099,0.317261,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,spacial_blocking,standard,standard,,20160,20160,100,10,5,1,1,16,16,42,0,419.965358,1.033314,0.334224,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,spacial_blocking,standard,standard,,6720,6720,100,10,5,1,2,16,16,42,0,46.808856,1.036548,0.060492,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,spacial_blocking,standard,standard,,13440,13440,100,10,5,1,2,16,16,42,0,187.056016,1.035555,0.272734,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,spacial_blocking,standard,standard,,20160,20160,100,10,5,1,2,16,16,42,0,420.032069,1.033478,0.313625,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,spacial_blocking,standard,standard,,6720,6720,100,10,5,1,4,16,16,42,0,46.735817,1.034931,0.107092,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,spacial_blocking,standard,standard,,13440,13440,100,10,5,1,4,16,16,42,0,187.101383,1.035806,0.127764,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,spacial_blocking,standard,standard,,20160,20160,100,10,5,1,4,16,16,42,0,420.292741,1.034120,0.356422,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_array,bit_array,,6720,6720,100,10,5,0,0,16,16,42,32,7.610244,0.168523,0.018284,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
